Title	Presenters	Description	Audio	URL																				
Revelation: A View from the Grass Roots		"SL80018, Revelation: A View from the Grass Roots"	SL80018	http://sunstonemagazine.com/audio/SL80018.mp3																				
Is God the Creator of Natural and Moral Law?--&--The Moral Imperatives of a Finite God		"SL80019, Is God the Creator of Natural and Moral Law?--&--The Moral Imperatives of a Finite God"	SL80019	http://sunstonemagazine.com/audio/SL80019.mp3																				
History and Theology: The Mormon Connection		"SL80020, History and Theology: The Mormon Connection"	SL80020	http://sunstonemagazine.com/audio/SL80020.mp3																				
“View of the Hebrews” and the Book of Mormon: The Comparative Method Reexamined		"SL80021, “View of the Hebrews” and the Book of Mormon: The Comparative Method Reexamined"	SL80021	http://sunstonemagazine.com/audio/SL80021.mp3																				
Lords Many and Gods Many: The Idea of a Progressing God		"SL80022, Lords Many and Gods Many: The Idea of a Progressing God"	SL80022	http://sunstonemagazine.com/audio/SL80022.mp3																				
Revelation in the Book of Mormon		"SL80023, Revelation in the Book of Mormon"	SL80023	http://sunstonemagazine.com/audio/SL80023.mp3																				
Mormon Christianizing of the Old Testament		"SL80024, Mormon Christianizing of the Old Testament"	SL80024	http://sunstonemagazine.com/audio/SL80024.mp3																				
The Mormon Concept of a Mother in Heaven--A Preliminary Overview		"SL80025, The Mormon Concept of a Mother in Heaven--A Preliminary Overview"	SL80025	http://sunstonemagazine.com/audio/SL80025.mp3																				
All or None Versus Sifting: Two Mormon Views of Truth		"SL80026, All or None Versus Sifting: Two Mormon Views of Truth"	SL80026	http://sunstonemagazine.com/audio/SL80026.mp3																				
The Light of Christ: The Unifying Concept of the Universe		"SL80027, The Light of Christ: The Unifying Concept of the Universe"	SL80027	http://sunstonemagazine.com/audio/SL80027.mp3																				
Signs of the Times: The Theological Functions of Early Mormon Apocalyptic		"SL80028, Signs of the Times: The Theological Functions of Early Mormon Apocalyptic"	SL80028	http://sunstonemagazine.com/audio/SL80028.mp3																				
Among the Mormons: Non-Mormon Religious Leaders Respond to Mormon Theology		"SL80029, Among the Mormons: Non-Mormon Religious Leaders Respond to Mormon Theology"	SL80029	http://sunstonemagazine.com/audio/SL80029.mp3																				
Existence and Freedom--&--Subject and Object: A Study in the Ontological Foundations of Human Freedom		"SL80030, Existence and Freedom--&--Subject and Object: A Study in the Ontological Foundations of Human Freedom"	SL80030	http://sunstonemagazine.com/audio/SL80030.mp3																				
The Problem of Cognitive Meaning in Theological Discourse		"SL82001, The Problem of Cognitive Meaning in Theological Discourse"	SL82001	http://sunstonemagazine.com/audio/SL82001.mp3																				
Can Nations Love Their Enemies?		"SL82002, Can Nations Love Their Enemies?"	SL82002	http://sunstonemagazine.com/audio/SL82002.mp3																				
From Grace to Grace		"SL82003, From Grace to Grace"	SL82003	http://sunstonemagazine.com/audio/SL82003.mp3																				
Like the Tigers of Old Time: History and Censorship		"SL82004, Like the Tigers of Old Time: History and Censorship"	SL82004	http://sunstonemagazine.com/audio/SL82004.mp3																				
Joseph Smith As Charismatic & Joseph in His Final Days		"SL82005, Joseph Smith As Charismatic & Joseph in His Final Days"	SL82005	http://sunstonemagazine.com/audio/SL82005.mp3																				
Pigs and Purity -&- The Wisdom of the Word		"SL82006, Pigs and Purity -&- The Wisdom of the Word"	SL82006	http://sunstonemagazine.com/audio/SL82006.mp3																				
The Queendom of God -&- Modern Day Mormonism's Concept of Heavenly Mother and the Modern Day Wiccan Concept of the Goddess		"SL82007, The Queendom of God -&- Modern Day Mormonism's Concept of Heavenly Mother and the Modern Day Wiccan Concept of the Goddess"	SL82007	http://sunstonemagazine.com/audio/SL82007.mp3																				
"Reflections on Priesthood and Equality of the Sexes in Mormonism -&- History, Faith and Myth"		"SL82008, Reflections on Priesthood and Equality of the Sexes in Mormonism -&- History, Faith and Myth"	SL82008	http://sunstonemagazine.com/audio/SL82008.mp3																				
Mormon Principles of Pacifism		"SL82009, Mormon Principles of Pacifism"	SL82009	http://sunstonemagazine.com/audio/SL82009.mp3																				
"Personal Reflections on Joseph Smith's First Vision -&- History, Faith, and Myth"		"SL82010, Personal Reflections on Joseph Smith's First Vision -&- History, Faith, and Myth"	SL82010	http://sunstonemagazine.com/audio/SL82010.mp3																				
"Eternity, Capacity, and the Will: Three Puzzles for a Mormon Aesthetics"		"SL82011, Eternity, Capacity, and the Will: Three Puzzles for a Mormon Aesthetics"	SL82011	http://sunstonemagazine.com/audio/SL82011.mp3																				
Pros and Cons of a Lay Clergy--Panel Discussion		"SL82012, Pros and Cons of a Lay Clergy--Panel Discussion"	SL82012	http://sunstonemagazine.com/audio/SL82012.mp3																				
Crucial Issues in Medical Ethics--Panel Discussion		"SL82013, Crucial Issues in Medical Ethics--Panel Discussion"	SL82013	http://sunstonemagazine.com/audio/SL82013.mp3																				
"Orson Pratt, the Mormon Paul"		"SL82015, Orson Pratt, the Mormon Paul"	SL82015	http://sunstonemagazine.com/audio/SL82015.mp3																				
Christ and Social Control: A Mormon Perspective		"SL82017, Christ and Social Control: A Mormon Perspective"	SL82017	http://sunstonemagazine.com/audio/SL82017.mp3																				
Science and Religion: Divorce and Remarriage		"SL82018, Science and Religion: Divorce and Remarriage"	SL82018	http://sunstonemagazine.com/audio/SL82018.mp3																				
Mormon Finitism and Absolutist Preconceptions -&- The Adequate Object of Religious Worship		"SL82019, Mormon Finitism and Absolutist Preconceptions -&- The Adequate Object of Religious Worship"	SL82019	http://sunstonemagazine.com/audio/SL82019.mp3																				
The (Eternal) Ethics of Agency: Implications Regarding Ecclesiastical Intervention		"SL82020, The (Eternal) Ethics of Agency: Implications Regarding Ecclesiastical Intervention"	SL82020	http://sunstonemagazine.com/audio/SL82020.mp3																				
"Form, Meaning, and Language: Some Implications of Changing Church Practices"		"SL82021, Form, Meaning, and Language: Some Implications of Changing Church Practices"	SL82021	http://sunstonemagazine.com/audio/SL82021.mp3																				
The Heart of the Law: An Approach to Ethics of the Individual in Mormonism		"SL82022, The Heart of the Law: An Approach to Ethics of the Individual in Mormonism"	SL82022	http://sunstonemagazine.com/audio/SL82022.mp3																				
Individuality vs. Community: A False Dichotomy		"SL82023, Individuality vs. Community: A False Dichotomy"	SL82023	http://sunstonemagazine.com/audio/SL82023.mp3																				
Mormons and Moonmen		"SL82024, Mormons and Moonmen"	SL82024	http://sunstonemagazine.com/audio/SL82024.mp3																				
A Comparison of LDS Conceptions of the Afterlife and the Afterlife in LDS Near-Death Experiences		"SL82025, A Comparison of LDS Conceptions of the Afterlife and the Afterlife in LDS Near-Death Experiences"	SL82025	http://sunstonemagazine.com/audio/SL82025.mp3																				
Science and Mormonism: Toward a Reduction of Dialogue		"SL82026, Science and Mormonism: Toward a Reduction of Dialogue"	SL82026	http://sunstonemagazine.com/audio/SL82026.mp3																				
Omnis on the Horizon		"SL82027, Omnis on the Horizon"	SL82027	http://sunstonemagazine.com/audio/SL82027.mp3																				
The Phenomenon of the Closet Doubter		"SL82028, The Phenomenon of the Closet Doubter"	SL82028	http://sunstonemagazine.com/audio/SL82028.mp3																				
Passive Revelation: A Fundamental Misapprehension -&- The Dangers of Revelation		"SL82029, Passive Revelation: A Fundamental Misapprehension -&- The Dangers of Revelation"	SL82029	http://sunstonemagazine.com/audio/SL82029.mp3																				
Eternal Implications -&- Joseph Smith's Radical Familism		"SL82030, Eternal Implications -&- Joseph Smith's Radical Familism"	SL82030	http://sunstonemagazine.com/audio/SL82030.mp3																				
Never Friends: Brigham Young and John Taylor		"SL82031, Never Friends: Brigham Young and John Taylor"	SL82031	http://sunstonemagazine.com/audio/SL82031.mp3																				
The Taste for Mystery		"SL82032, The Taste for Mystery"	SL82032	http://sunstonemagazine.com/audio/SL82032.mp3																				
The Beauty of the Old Testament		"SL82033, The Beauty of the Old Testament"	SL82033	http://sunstonemagazine.com/audio/SL82033.mp3																				
Watergate Revisited from a Theological Perspective: A Question of Human Nature		"SL82034, Watergate Revisited from a Theological Perspective: A Question of Human Nature"	SL82034	http://sunstonemagazine.com/audio/SL82034.mp3																				
Abortion Politics and Policy: The Need for Moral Tension		"SL81001, Abortion Politics and Policy: The Need for Moral Tension"	SL81001	http://sunstonemagazine.com/audio/SL81001.mp3																				
From Christian Faith to Social Ethics		"SL81001, From Christian Faith to Social Ethics"	SL81001	http://sunstonemagazine.com/audio/SL81001.mp3																				
Gifts of the Spirit: Women's Share		"SL81002, Gifts of the Spirit: Women's Share"	SL81002	http://sunstonemagazine.com/audio/SL81002.mp3																				
Zion: The Structure of a Theological Revolution--&--The Jewish Jesus		"SL81003, Zion: The Structure of a Theological Revolution--&--The Jewish Jesus"	SL81003	http://sunstonemagazine.com/audio/SL81003.mp3																				
Development of a Mormon Theology of Death		"SL81004, Development of a Mormon Theology of Death"	SL81004	http://sunstonemagazine.com/audio/SL81004.mp3																				
The Everlasting Gospel in Catholic and Mormon Thought		"SL81005, The Everlasting Gospel in Catholic and Mormon Thought"	SL81005	http://sunstonemagazine.com/audio/SL81005.mp3																				
Ethical Issues of Global Concern: Alternatives to Traditional Mormon Perspectives		"SL81006, Ethical Issues of Global Concern: Alternatives to Traditional Mormon Perspectives"	SL81006	http://sunstonemagazine.com/audio/SL81006.mp3																				
Zion: The Structure of a Theological Revolutions		"SL81007, Zion: The Structure of a Theological Revolutions"	SL81007	http://sunstonemagazine.com/audio/SL81007.mp3																				
& Glimpses of Mormon Theology from the Nineteenth Century Funeral		"SL81008, & Glimpses of Mormon Theology from the Nineteenth Century Funeral"	SL81008	http://sunstonemagazine.com/audio/SL81008.mp3																				
A Jew in Zion		"SL81009, A Jew in Zion"	SL81009	http://sunstonemagazine.com/audio/SL81009.mp3																				
Philosophy and Theology		"SL81010, Philosophy and Theology"	SL81010	http://sunstonemagazine.com/audio/SL81010.mp3																				
The First Vision Controversy: A Comment on Sectarian vs. Historical Interpretations--&--History and Criticism of the Text of the King Follett Discourse		"SL81011, The First Vision Controversy: A Comment on Sectarian vs. Historical Interpretations--&--History and Criticism of the Text of the King Follett Discourse"	SL81011	http://sunstonemagazine.com/audio/SL81011.mp3																				
The Possibilities of Love		"SL81012, The Possibilities of Love"	SL81012	http://sunstonemagazine.com/audio/SL81012.mp3																				
History and Criticism of the Text of the King Follett Discourse		"SL81013, History and Criticism of the Text of the King Follett Discourse"	SL81013	http://sunstonemagazine.com/audio/SL81013.mp3																				
The Scriptures and Mormon Women--&-- Let the Women Be Silent		"SL81014, The Scriptures and Mormon Women--&-- Let the Women Be Silent"	SL81014	http://sunstonemagazine.com/audio/SL81014.mp3																				
LDS Approaches to the Holy Bible--&--On Scripture		"SL81015, LDS Approaches to the Holy Bible--&--On Scripture"	SL81015	http://sunstonemagazine.com/audio/SL81015.mp3																				
Finitist Theology and the Problem of Evil		"SL81016, Finitist Theology and the Problem of Evil"	SL81016	http://sunstonemagazine.com/audio/SL81016.mp3																				
How Not to Think about God		"SL81017, How Not to Think about God"	SL81017	http://sunstonemagazine.com/audio/SL81017.mp3																				
The Mormon Theology of Family in Comparative Perspective		"SL81018, The Mormon Theology of Family in Comparative Perspective"	SL81018	http://sunstonemagazine.com/audio/SL81018.mp3																				
Writing Religious Biography from Within		"SL81019, Writing Religious Biography from Within"	SL81019	http://sunstonemagazine.com/audio/SL81019.mp3																				
Contemporary Possibilities of Religious Affirmation		"SL81020, Contemporary Possibilities of Religious Affirmation"	SL81020	http://sunstonemagazine.com/audio/SL81020.mp3																				
Women in Religion		"SL81021, Women in Religion"	SL81021	http://sunstonemagazine.com/audio/SL81021.mp3																				
We Are All Enlisted: War As Metaphor in Mormon Thought--&--Ordinances As Metaphor		"SL81022, We Are All Enlisted: War As Metaphor in Mormon Thought--&--Ordinances As Metaphor"	SL81022	http://sunstonemagazine.com/audio/SL81022.mp3																				
The Thinking Person's Spiritual Connection		"SL81023, The Thinking Person's Spiritual Connection"	SL81023	http://sunstonemagazine.com/audio/SL81023.mp3																				
A Sociobiological Perspective of the Doctrinal Development of Polygyny--&-- The Polygamy Defenses--&--Prelude to Public Announcement: The 1840-43 Plight of the Doctrine of Eternal Marriage in the LDS Church		"SL81024, A Sociobiological Perspective of the Doctrinal Development of Polygyny--&-- The Polygamy Defenses--&--Prelude to Public Announcement: The 1840-43 Plight of the Doctrine of Eternal Marriage in the LDS Church"	SL81024	http://sunstonemagazine.com/audio/SL81024.mp3																				
The Marriage of Adam and Eve: The Male-Female Dichotomy in Mormon Doctrine--& Priesthood and the Male Position		"SL81025, The Marriage of Adam and Eve: The Male-Female Dichotomy in Mormon Doctrine--& Priesthood and the Male Position"	SL81025	http://sunstonemagazine.com/audio/SL81025.mp3																				
Quintessential Mormonism: Literalmindedness As a Way of Life--&-- Shadow Authority		"SL81026, Quintessential Mormonism: Literalmindedness As a Way of Life--&-- Shadow Authority"	SL81026	http://sunstonemagazine.com/audio/SL81026.mp3																				
"Eschatology, the Teleological Principle, and Christian Ethics"		"SL81027, Eschatology, the Teleological Principle, and Christian Ethics"	SL81027	http://sunstonemagazine.com/audio/SL81027.mp3																				
Being a Christian Woman in the 1980s--&--Being a Christian Man in the 1980s		"SL81028, Being a Christian Woman in the 1980s--&--Being a Christian Man in the 1980s"	SL81028	http://sunstonemagazine.com/audio/SL81028.mp3																				
The Nature and Meaning of the Mormon Concept of Atonement		"SL81029, The Nature and Meaning of the Mormon Concept of Atonement"	SL81029	http://sunstonemagazine.com/audio/SL81029.mp3																				
Whitehead and Mormon Theology		"SL81030, Whitehead and Mormon Theology"	SL81030	http://sunstonemagazine.com/audio/SL81030.mp3																				
The Foundations of Freedom in Mormon Thought		"SL81031, The Foundations of Freedom in Mormon Thought"	SL81031	http://sunstonemagazine.com/audio/SL81031.mp3																				
Medicine and Religious Ethics		"SL81032, Medicine and Religious Ethics"	SL81032	http://sunstonemagazine.com/audio/SL81032.mp3																				
The Use and Abuse of Religion		"SL81033, The Use and Abuse of Religion"	SL81033	http://sunstonemagazine.com/audio/SL81033.mp3																				
The Problem of Cognitive Meaning in Theological Discourse		"SL82001, The Problem of Cognitive Meaning in Theological Discourse"	SL82001	http://sunstonemagazine.com/audio/SL82001.mp3																				
Can Nations Love Their Enemies?		"SL82002, Can Nations Love Their Enemies?"	SL82002	http://sunstonemagazine.com/audio/SL82002.mp3																				
From Grace to Grace		"SL82003, From Grace to Grace"	SL82003	http://sunstonemagazine.com/audio/SL82003.mp3																				
Like the Tigers of Old Time: History and Censorship		"SL82004, Like the Tigers of Old Time: History and Censorship"	SL82004	http://sunstonemagazine.com/audio/SL82004.mp3																				
Joseph Smith As Charismatic & Joseph in His Final Days		"SL82005, Joseph Smith As Charismatic & Joseph in His Final Days"	SL82005	http://sunstonemagazine.com/audio/SL82005.mp3																				
Pigs and Purity -&- The Wisdom of the Word		"SL82006, Pigs and Purity -&- The Wisdom of the Word"	SL82006	http://sunstonemagazine.com/audio/SL82006.mp3																				
The Queendom of God -&- Modern Day Mormonism's Concept of Heavenly Mother and the Modern Day Wiccan Concept of the Goddess		"SL82007, The Queendom of God -&- Modern Day Mormonism's Concept of Heavenly Mother and the Modern Day Wiccan Concept of the Goddess"	SL82007	http://sunstonemagazine.com/audio/SL82007.mp3																				
"Reflections on Priesthood and Equality of the Sexes in Mormonism -&- History, Faith and Myth"		"SL82008, Reflections on Priesthood and Equality of the Sexes in Mormonism -&- History, Faith and Myth"	SL82008	http://sunstonemagazine.com/audio/SL82008.mp3																				
Mormon Principles of Pacifism		"SL82009, Mormon Principles of Pacifism"	SL82009	http://sunstonemagazine.com/audio/SL82009.mp3																				
"Personal Reflections on Joseph Smith's First Vision -&- History, Faith, and Myth"		"SL82010, Personal Reflections on Joseph Smith's First Vision -&- History, Faith, and Myth"	SL82010	http://sunstonemagazine.com/audio/SL82010.mp3																				
"Eternity, Capacity, and the Will: Three Puzzles for a Mormon Aesthetics"		"SL82011, Eternity, Capacity, and the Will: Three Puzzles for a Mormon Aesthetics"	SL82011	http://sunstonemagazine.com/audio/SL82011.mp3																				
Pros and Cons of a Lay Clergy--Panel Discussion		"SL82012, Pros and Cons of a Lay Clergy--Panel Discussion"	SL82012	http://sunstonemagazine.com/audio/SL82012.mp3																				
Crucial Issues in Medical Ethics--Panel Discussion		"SL82013, Crucial Issues in Medical Ethics--Panel Discussion"	SL82013	http://sunstonemagazine.com/audio/SL82013.mp3																				
"Orson Pratt, the Mormon Paul"		"SL82015, Orson Pratt, the Mormon Paul"	SL82015	http://sunstonemagazine.com/audio/SL82015.mp3																				
Christ and Social Control: A Mormon Perspective		"SL82017, Christ and Social Control: A Mormon Perspective"	SL82017	http://sunstonemagazine.com/audio/SL82017.mp3																				
Science and Religion: Divorce and Remarriage		"SL82018, Science and Religion: Divorce and Remarriage"	SL82018	http://sunstonemagazine.com/audio/SL82018.mp3																				
Mormon Finitism and Absolutist Preconceptions -&- The Adequate Object of Religious Worship		"SL82019, Mormon Finitism and Absolutist Preconceptions -&- The Adequate Object of Religious Worship"	SL82019	http://sunstonemagazine.com/audio/SL82019.mp3																				
The (Eternal) Ethics of Agency: Implications Regarding Ecclesiastical Intervention		"SL82020, The (Eternal) Ethics of Agency: Implications Regarding Ecclesiastical Intervention"	SL82020	http://sunstonemagazine.com/audio/SL82020.mp3																				
"Form, Meaning, and Language: Some Implications of Changing Church Practices"		"SL82021, Form, Meaning, and Language: Some Implications of Changing Church Practices"	SL82021	http://sunstonemagazine.com/audio/SL82021.mp3																				
The Heart of the Law: An Approach to Ethics of the Individual in Mormonism		"SL82022, The Heart of the Law: An Approach to Ethics of the Individual in Mormonism"	SL82022	http://sunstonemagazine.com/audio/SL82022.mp3																				
Individuality vs. Community: A False Dichotomy		"SL82023, Individuality vs. Community: A False Dichotomy"	SL82023	http://sunstonemagazine.com/audio/SL82023.mp3																				
Mormons and Moonmen		"SL82024, Mormons and Moonmen"	SL82024	http://sunstonemagazine.com/audio/SL82024.mp3																				
A Comparison of LDS Conceptions of the Afterlife and the Afterlife in LDS Near-Death Experiences		"SL82025, A Comparison of LDS Conceptions of the Afterlife and the Afterlife in LDS Near-Death Experiences"	SL82025	http://sunstonemagazine.com/audio/SL82025.mp3																				
Science and Mormonism: Toward a Reduction of Dialogue		"SL82026, Science and Mormonism: Toward a Reduction of Dialogue"	SL82026	http://sunstonemagazine.com/audio/SL82026.mp3																				
Omnis on the Horizon		"SL82027, Omnis on the Horizon"	SL82027	http://sunstonemagazine.com/audio/SL82027.mp3																				
The Phenomenon of the Closet Doubter		"SL82028, The Phenomenon of the Closet Doubter"	SL82028	http://sunstonemagazine.com/audio/SL82028.mp3																				
Passive Revelation: A Fundamental Misapprehension -&- The Dangers of Revelation		"SL82029, Passive Revelation: A Fundamental Misapprehension -&- The Dangers of Revelation"	SL82029	http://sunstonemagazine.com/audio/SL82029.mp3																				
Eternal Implications -&- Joseph Smith's Radical Familism		"SL82030, Eternal Implications -&- Joseph Smith's Radical Familism"	SL82030	http://sunstonemagazine.com/audio/SL82030.mp3																				
Never Friends: Brigham Young and John Taylor		"SL82031, Never Friends: Brigham Young and John Taylor"	SL82031	http://sunstonemagazine.com/audio/SL82031.mp3																				
The Taste for Mystery		"SL82032, The Taste for Mystery"	SL82032	http://sunstonemagazine.com/audio/SL82032.mp3																				
The Beauty of the Old Testament		"SL82033, The Beauty of the Old Testament"	SL82033	http://sunstonemagazine.com/audio/SL82033.mp3																				
Watergate Revisited from a Theological Perspective: A Question of Human Nature		"SL82034, Watergate Revisited from a Theological Perspective: A Question of Human Nature"	SL82034	http://sunstonemagazine.com/audio/SL82034.mp3																				
The Mormon Integrity Crisis: Closet Doubters and Closet Fanatics		"SL83001, The Mormon Integrity Crisis: Closet Doubters and Closet Fanatics"	SL83001	http://sunstonemagazine.com/audio/SL83001.mp3																				
The Physiology of Conversion		"SL83002, The Physiology of Conversion"	SL83002	http://sunstonemagazine.com/audio/SL83002.mp3																				
The Bible as Social Weapon		"SL83003, The Bible as Social Weapon"	SL83003	http://sunstonemagazine.com/audio/SL83003.mp3																				
The Intellectual in the Service of the Faith--Roundtable		"SL83004, The Intellectual in the Service of the Faith--Roundtable"	SL83004	http://sunstonemagazine.com/audio/SL83004.mp3																				
Marriage as a Divine Imperative: Problems and Possibilities		"SL83005, Marriage as a Divine Imperative: Problems and Possibilities"	SL83005	http://sunstonemagazine.com/audio/SL83005.mp3																				
The House of Israel in Mormon Theology		"SL83006, The House of Israel in Mormon Theology"	SL83006	http://sunstonemagazine.com/audio/SL83006.mp3																				
On Being a Peculiar People: The Patriarchal Family of Heaven		"SL83008, On Being a Peculiar People: The Patriarchal Family of Heaven"	SL83008	http://sunstonemagazine.com/audio/SL83008.mp3																				
Walking a Tightrope: The Duality of Mormon Educational Philosophy		"SL83009, Walking a Tightrope: The Duality of Mormon Educational Philosophy"	SL83009	http://sunstonemagazine.com/audio/SL83009.mp3																				
Pillars of My Faith		"SL83011, Pillars of My Faith"	SL83011	http://sunstonemagazine.com/audio/SL83011.mp3																				
Between Two Worlds--The Artist in a Religious Culture		"SL83012, Between Tw+D43o Worlds--The Artist in a Religious Culture"	SL83012	http://sunstonemagazine.com/audio/SL83012.mp3																				
Social Responsibility and LDS Ethics		"SL83013, Social Responsibility and LDS Ethics"	SL83013	http://sunstonemagazine.com/audio/SL83013.mp3																				
An Exploration of Three Spiritual Systems That Can Enrich Mormon Spiritual Practice		"SL83014, An Exploration of Three Spiritual Systems That Can Enrich Mormon Spiritual Practice"	SL83014	http://sunstonemagazine.com/audio/SL83014.mp3																				
Martin Luther: A Man for No Seasons		"SL83015, Martin Luther: A Man for No Seasons"	SL83015	http://sunstonemagazine.com/audio/SL83015.mp3																				
Mormonism and a Tragic Sense of Life		"SL83016, Mormonism and a Tragic Sense of Life"	SL83016	http://sunstonemagazine.com/audio/SL83016.mp3																				
The Life of Oliver Cowdery		"SL83017, The Life of Oliver Cowdery"	SL83017	http://sunstonemagazine.com/audio/SL83017.mp3																				
The Development of the Mormon Jehovah Doctrine 1830-1916		"SL83018, The Development of the Mormon Jehovah Doctrine 1830-1916"	SL83018	http://sunstonemagazine.com/audio/SL83018.mp3																				
A Radical View of Goodness		"SL83019, A Radical View of Goodness"	SL83019	http://sunstonemagazine.com/audio/SL83019.mp3																				
A Defense of Humanism		"SL83020, A Defense of Humanism"	SL83020	http://sunstonemagazine.com/audio/SL83020.mp3																				
Human Achievement and Religious Awe: A Perspective of Joy		"SL83021, Human Achievement and Religious Awe: A Perspective of Joy"	SL83021	http://sunstonemagazine.com/audio/SL83021.mp3																				
Orson Hyde's Mission to Palestine		"SL83023, Orson Hyde's Mission to Palestine"	SL83023	http://sunstonemagazine.com/audio/SL83023.mp3																				
The Spectrum of Religious Beliefs and Behaviors		"SL83024, The Spectrum of Religious Beliefs and Behaviors"	SL83024	http://sunstonemagazine.com/audio/SL83024.mp3																				
Thought Reform and Totalism: The Psychology of the LDS Church Missionary Training Program		"SL83025, Thought Reform and Totalism: The Psychology of the LDS Church Missionary Training Program"	SL83025	http://sunstonemagazine.com/audio/SL83025.mp3																				
The Sacred and the Profuse		"SL83026, The Sacred and the Profuse"	SL83026	http://sunstonemagazine.com/audio/SL83026.mp3																				
Telling Confessions: Confidentiality and Religious Practice		"SL83028, Telling Confessions: Confidentiality and Religious Practice"	SL83028	http://sunstonemagazine.com/audio/SL83028.mp3																				
Being Mormon: Is It What You Believe Or How You Act?		"SL83029, Being Mormon: Is It What You Believe Or How You Act?"	SL83029	http://sunstonemagazine.com/audio/SL83029.mp3																				
A History of the Thirteen Articles of Faith in Mormon Literature and Thought		"SL83030, A History of the Thirteen Articles of Faith in Mormon Literature and Thought"	SL83030	http://sunstonemagazine.com/audio/SL83030.mp3																				
The Dimensions of Mormon Religiosity		"SL83031, The Dimensions of Mormon Religiosity"	SL83031	http://sunstonemagazine.com/audio/SL83031.mp3																				
Correlation and the Siege Mentality		"SL83032, Correlation and the Siege Mentality"	SL83032	http://sunstonemagazine.com/audio/SL83032.mp3																				
Defining the Mormon Doctrine of Deity		"SL83033, Defining the Mormon Doctrine of Deity"	SL83033	http://sunstonemagazine.com/audio/SL83033.mp3																				
Mormonism as a Mystery Religion		"SL83034, Mormonism as a Mystery Religion"	SL83034	http://sunstonemagazine.com/audio/SL83034.mp3																				
"Luther's Hymns, Or Why should the Devil Have All the Best Tunes?"		"SL83035, Luther's Hymns, Or Why should the Devil Have All the Best Tunes?"	SL83035	http://sunstonemagazine.com/audio/SL83035.mp3																				
A Modern Look At 'Tithable Income': Issues and Questions		"SL83036, A Modern Look At 'Tithable Income': Issues and Questions"	SL83036	http://sunstonemagazine.com/audio/SL83036.mp3																				
